Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[SHOSUCA153T2XL] SHORT PLAYA ESTAMPADO CAB (SAL, 2XL);SHOSUCA153T2XL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;2XL;1,00
CERRO VERDE;[SHOSUKI156T10] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 10);SHOSUKI156T10;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;10;1,00
CERRO VERDE;[SHOSUKI153T8] SHORT PLAYA ESTAMPADO KIDS (SAL, 8);SHOSUKI153T8;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;8;1,00
CERRO VERDE;[SHOSUCA154TL] SHORT PLAYA ESTAMPADO CAB (SOMBRERO, L);SHOSUCA154TL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sombrero;L;1,00
CERRO VERDE;[SHOSUCA153TM] SHORT PLAYA ESTAMPADO CAB (SAL, M);SHOSUCA153TM;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;M;1,00
CERRO VERDE;[SHOUNCA186TS] SHORT PLAYA CAB (Azul Verdoso, S);SHOUNCA186TS;SHORT PLAYA CAB;Caballero;Azul Verdoso;S;2,00
CERRO VERDE;[SHOUNCA69TS] SHORT PLAYA CAB (Verde Pino, S);SHOUNCA69TS;SHORT PLAYA CAB;Caballero;Verde Pino;S;1,00
CERRO VERDE;[SHOUNCA170TXL] SHORT PLAYA CAB (Cereza, XL);SHOUNCA170TXL;SHORT PLAYA CAB;Caballero;Cereza;XL;1,00
CERRO VERDE;[SHOUNCA170T2XL] SHORT PLAYA CAB (Cereza, 2XL);SHOUNCA170T2XL;SHORT PLAYA CAB;Caballero;Cereza;2XL;1,00
CERRO VERDE;[SHOUNKI12T1] SHORT PLAYA KIDS (Azul Marino, 1);SHOUNKI12T1;SHORT PLAYA KIDS;Kids;Azul Marino;1;1,00
CERRO VERDE;[SHOUNKI29T6] SHORT PLAYA KIDS (Gris Azulado, 6);SHOUNKI29T6;SHORT PLAYA KIDS;Kids;Gris Azulado;6;1,00
CERRO VERDE;[SHOUNKI29T4] SHORT PLAYA KIDS (Gris Azulado, 4);SHOUNKI29T4;SHORT PLAYA KIDS;Kids;Gris Azulado;4;1,00
CERRO VERDE;[SHOUNKI29T1] SHORT PLAYA KIDS (Gris Azulado, 1);SHOUNKI29T1;SHORT PLAYA KIDS;Kids;Gris Azulado;1;1,00
CERRO VERDE;[SHOUNKI68T4] SHORT PLAYA KIDS (Verde Oliva, 4);SHOUNKI68T4;SHORT PLAYA KIDS;Kids;Verde Oliva;4;2,00
CERRO VERDE;[SHOUNKI68T2] SHORT PLAYA KIDS (Verde Oliva, 2);SHOUNKI68T2;SHORT PLAYA KIDS;Kids;Verde Oliva;2;1,00
CERRO VERDE;[SHOUNKI68T1] SHORT PLAYA KIDS (Verde Oliva, 1);SHOUNKI68T1;SHORT PLAYA KIDS;Kids;Verde Oliva;1;1,00
CERRO VERDE;[SHOUNKI57T6] SHORT PLAYA KIDS (Terracota, 6);SHOUNKI57T6;SHORT PLAYA KIDS;Kids;Terracota;6;1,00
CERRO VERDE;[SHOUNKI57T1] SHORT PLAYA KIDS (Terracota, 1);SHOUNKI57T1;SHORT PLAYA KIDS;Kids;Terracota;1;1,00
CERRO VERDE;[SHOUNKI33T8] SHORT PLAYA KIDS (Kaki, 8);SHOUNKI33T8;SHORT PLAYA KIDS;Kids;Kaki;8;1,00
CERRO VERDE;[SHOUNKI33T1] SHORT PLAYA KIDS (Kaki, 1);SHOUNKI33T1;SHORT PLAYA KIDS;Kids;Kaki;1;1,00
CERRO VERDE;[SHOUNKI23T4] SHORT PLAYA KIDS (Coral, 4);SHOUNKI23T4;SHORT PLAYA KIDS;Kids;Coral;4;1,00
CERRO VERDE;[SHOUNKI23T6] SHORT PLAYA KIDS (Coral, 6);SHOUNKI23T6;SHORT PLAYA KIDS;Kids;Coral;6;1,00
CERRO VERDE;[SHOUNKI23T1] SHORT PLAYA KIDS (Coral, 1);SHOUNKI23T1;SHORT PLAYA KIDS;Kids;Coral;1;1,00
CERRO VERDE;[SHOUNKI50T6] SHORT PLAYA KIDS (Rojo, 6);SHOUNKI50T6;SHORT PLAYA KIDS;Kids;Rojo;6;1,00
CERRO VERDE;[SHOUNKI50T1] SHORT PLAYA KIDS (Rojo, 1);SHOUNKI50T1;SHORT PLAYA KIDS;Kids;Rojo;1;1,00
CERRO VERDE;[SHOUNKI01T2] SHORT PLAYA KIDS (Aguamarina, 2);SHOUNKI01T2;SHORT PLAYA KIDS;Kids;Aguamarina;2;1,00
CERRO VERDE;[SHOUNKI13T12] SHORT PLAYA KIDS (Azul Rey, 12);SHOUNKI13T12;SHORT PLAYA KIDS;Kids;Azul Rey;12;1,00
CERRO VERDE;[SHOUNKI13T1] SHORT PLAYA KIDS (Azul Rey, 1);SHOUNKI13T1;SHORT PLAYA KIDS;Kids;Azul Rey;1;1,00
