Ubicación;Producto;SKU;Modelo;Genero;Color;talla;Cantidad en inventario
GRANDPLAZ;[PANNTDA33TXL] EXPLORE PANTS DAMA (Kaki, XL);PANNTDA33TXL;EXPLORE PANTS DAMA;Dama;Kaki;XL;2,00
GRANDPLAZ;[PANNTDA12TXS] EXPLORE PANTS DAMA (Azul Marino, XS);PANNTDA12TXS;EXPLORE PANTS DAMA;Dama;Azul Marino;XS;1,00
GRANDPLAZ;[PANNTDA31TS] EXPLORE PANTS DAMA (Gris Oscuro, S);PANNTDA31TS;EXPLORE PANTS DAMA;Dama;Gris Oscuro;S;2,00
GRANDPLAZ;[PANNTDA30TXS] EXPLORE PANTS DAMA (Gris Claro, XS);PANNTDA30TXS;EXPLORE PANTS DAMA;Dama;Gris Claro;XS;1,00
GRANDPLAZ;[PANNTDA12TM] EXPLORE PANTS DAMA (Azul Marino, M);PANNTDA12TM;EXPLORE PANTS DAMA;Dama;Azul Marino;M;2,00
GRANDPLAZ;[PANNTDA30TM] EXPLORE PANTS DAMA (Gris Claro, M);PANNTDA30TM;EXPLORE PANTS DAMA;Dama;Gris Claro;M;2,00
GRANDPLAZ;[PANNTDA12TS] EXPLORE PANTS DAMA (Azul Marino, S);PANNTDA12TS;EXPLORE PANTS DAMA;Dama;Azul Marino;S;2,00
GRANDPLAZ;[PANNTDA66TS] EXPLORE PANTS DAMA (Verde Militar, S);PANNTDA66TS;EXPLORE PANTS DAMA;Dama;Verde Militar;S;2,00
GRANDPLAZ;[PANNTCA43TS] EXPLORE PANTS CAB (Negro, S);PANNTCA43TS;EXPLORE PANTS CAB;Caballero;Negro;S;2,00
GRANDPLAZ;[PANNTCA30TS] EXPLORE PANTS CAB (Gris Claro, S);PANNTCA30TS;EXPLORE PANTS CAB;Caballero;Gris Claro;S;1,00
GRANDPLAZ;[PANNTCA33TL] EXPLORE PANTS CAB (Kaki, L);PANNTCA33TL;EXPLORE PANTS CAB;Caballero;Kaki;L;1,00
GRANDPLAZ;[PANNTCA30TL] EXPLORE PANTS CAB (Gris Claro, L);PANNTCA30TL;EXPLORE PANTS CAB;Caballero;Gris Claro;L;1,00
GRANDPLAZ;[PANNTCA12TL] EXPLORE PANTS CAB (Azul Marino, L);PANNTCA12TL;EXPLORE PANTS CAB;Caballero;Azul Marino;L;2,00
