Ubicación;Producto;SKU;MODELO;GENERO;TALLA;COLOR;Cantidad en inventario
SAMBIL;[JAPCA66TM] CUADRO JACKET 2.0 CAB (M, VERDE MILITAR);JAPCA66TM;CUADRO JACKET 2.0 CAB;Caballero;M;Verde Militar;1,00
SAMBIL;[JAPDA43TM] CUADRO JACKET 2.0 DAMA (M, NEGRO);JAPDA43TM;CUADRO JACKET 2.0 DAMA;Dama;M;Negro;2,00
SAMBIL;[JAPCA162TXL] CUADRO JACKET 2.0 CAB (XL, Azul Polo);JAPCA162TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Azul Polo;1,00
SAMBIL;[JAPCA16TS] CUADRO JACKET 2.0 CAB (S, BLANCO);JAPCA16TS;CUADRO JACKET 2.0 CAB;Caballero;S;Blanco;1,00
SAMBIL;[JAPKI35T8] CUADRO JACKET 2.0 KIDS (8, Magenta);JAPKI35T8;CUADRO JACKET 2.0 KIDS;Kids;8;Magenta;1,00
SAMBIL;[JAPKI43T4] CUADRO JACKET 2.0 KIDS (4, NEGRO);JAPKI43T4;CUADRO JACKET 2.0 KIDS;Kids;4;Negro;1,00
SAMBIL;[JAPKI35T6] CUADRO JACKET 2.0 KIDS (6, Magenta);JAPKI35T6;CUADRO JACKET 2.0 KIDS;Kids;6;Magenta;1,00
SAMBIL;[JAPKI43T10] CUADRO JACKET 2.0 KIDS (10, NEGRO);JAPKI43T10;CUADRO JACKET 2.0 KIDS;Kids;10;Negro;1,00
SAMBIL;[JAPKI01T8] CUADRO JACKET 2.0 KIDS (8, AGUAMARINA);JAPKI01T8;CUADRO JACKET 2.0 KIDS;Kids;8;Aguamarina;1,00
SAMBIL;[JAPKI01T12] CUADRO JACKET 2.0 KIDS (12, AGUAMARINA);JAPKI01T12;CUADRO JACKET 2.0 KIDS;Kids;12;Aguamarina;1,00
SAMBIL;[JAPKI162T10] CUADRO JACKET 2.0 KIDS (10, Azul Polo);JAPKI162T10;CUADRO JACKET 2.0 KIDS;Kids;10;Azul Polo;1,00
SAMBIL;[JAPCA16TM] CUADRO JACKET 2.0 CAB (M, BLANCO);JAPCA16TM;CUADRO JACKET 2.0 CAB;Caballero;M;Blanco;1,00
SAMBIL;[JAPCA66TL] CUADRO JACKET 2.0 CAB (L, VERDE MILITAR);JAPCA66TL;CUADRO JACKET 2.0 CAB;Caballero;L;Verde Militar;1,00
SAMBIL;[JAPKI162T8] CUADRO JACKET 2.0 KIDS (8, Azul Polo);JAPKI162T8;CUADRO JACKET 2.0 KIDS;Kids;8;Azul Polo;1,00
SAMBIL;[JAPDA162TS] CUADRO JACKET 2.0 DAMA (S, Azul Polo);JAPDA162TS;CUADRO JACKET 2.0 DAMA;Dama;S;Azul Polo;2,00
SAMBIL;[JAPDA66TXS] CUADRO JACKET 2.0 DAMA (XS, VERDE MILITAR);JAPDA66TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Verde Militar;1,00
SAMBIL;[JAPDA35TXS] CUADRO JACKET 2.0 DAMA (XS, Magenta);JAPDA35TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Magenta;1,00
SAMBIL;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CUADRO JACKET 2.0 CAB;Caballero;M;Negro;1,00
SAMBIL;[JAPDA01TXS] CUADRO JACKET 2.0 DAMA (XS, AGUAMARINA);JAPDA01TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Aguamarina;1,00
SAMBIL;[JAPDA01TS] CUADRO JACKET 2.0 DAMA (S, AGUAMARINA);JAPDA01TS;CUADRO JACKET 2.0 DAMA;Dama;S;Aguamarina;1,00
SAMBIL;[JAPDA43TS] CUADRO JACKET 2.0 DAMA (S, NEGRO);JAPDA43TS;CUADRO JACKET 2.0 DAMA;Dama;S;Negro;2,00
SAMBIL;[JAPDA66TM] CUADRO JACKET 2.0 DAMA (M, VERDE MILITAR);JAPDA66TM;CUADRO JACKET 2.0 DAMA;Dama;M;Verde Militar;1,00
SAMBIL;[JAPKI162T12] CUADRO JACKET 2.0 KIDS (12, Azul Polo);JAPKI162T12;CUADRO JACKET 2.0 KIDS;Kids;12;Azul Polo;2,00
SAMBIL;[JAPDA162TXS] CUADRO JACKET 2.0 DAMA (XS, Azul Polo);JAPDA162TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Azul Polo;1,00
SAMBIL;[JAPKI43T8] CUADRO JACKET 2.0 KIDS (8, NEGRO);JAPKI43T8;CUADRO JACKET 2.0 KIDS;Kids;8;Negro;1,00
SAMBIL;[JAPKI162T4] CUADRO JACKET 2.0 KIDS (4, Azul Polo);JAPKI162T4;CUADRO JACKET 2.0 KIDS;Kids;4;Azul Polo;1,00
SAMBIL;[JAPDA66TS] CUADRO JACKET 2.0 DAMA (S, VERDE MILITAR);JAPDA66TS;CUADRO JACKET 2.0 DAMA;Dama;S;Verde Militar;1,00
SAMBIL;[JAPDA01TL] CUADRO JACKET 2.0 DAMA (L, AGUAMARINA);JAPDA01TL;CUADRO JACKET 2.0 DAMA;Dama;L;Aguamarina;1,00
SAMBIL;[JAPCA162TS] CUADRO JACKET 2.0 CAB (S, Azul Polo);JAPCA162TS;CUADRO JACKET 2.0 CAB;Caballero;S;Azul Polo;1,00
SAMBIL;[JAPCA16T2XL] CUADRO JACKET 2.0 CAB (2XL, BLANCO);JAPCA16T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Blanco;1,00
SAMBIL;[JAPDA16TM] CUADRO JACKET 2.0 DAMA (M, BLANCO);JAPDA16TM;CUADRO JACKET 2.0 DAMA;Dama;M;Blanco;1,00
SAMBIL;[JAPKI43T12] CUADRO JACKET 2.0 KIDS (12, NEGRO);JAPKI43T12;CUADRO JACKET 2.0 KIDS;Kids;12;Negro;1,00
SAMBIL;[JAPKI43T6] CUADRO JACKET 2.0 KIDS (6, NEGRO);JAPKI43T6;CUADRO JACKET 2.0 KIDS;Kids;6;Negro;1,00
SAMBIL;[JAPDA162TM] CUADRO JACKET 2.0 DAMA (M, Azul Polo);JAPDA162TM;CUADRO JACKET 2.0 DAMA;Dama;M;Azul Polo;1,00
SAMBIL;[JAPCA162TL] CUADRO JACKET 2.0 CAB (L, Azul Polo);JAPCA162TL;CUADRO JACKET 2.0 CAB;Caballero;L;Azul Polo;1,00
SAMBIL;[JAPKI35T12] CUADRO JACKET 2.0 KIDS (12, Magenta);JAPKI35T12;CUADRO JACKET 2.0 KIDS;Kids;12;Magenta;1,00
SAMBIL;[JAPKI35T10] CUADRO JACKET 2.0 KIDS (10, Magenta);JAPKI35T10;CUADRO JACKET 2.0 KIDS;Kids;10;Magenta;1,00
SAMBIL;[JAPCA43TXL] CUADRO JACKET 2.0 CAB (XL, NEGRO);JAPCA43TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Negro;1,00
TALLER;[JAPKI162T8] CUADRO JACKET 2.0 KIDS (8, Azul Polo);JAPKI162T8;CUADRO JACKET 2.0 KIDS;Kids;8;Azul Polo;44,00
TALLER;[JAPKI162T10] CUADRO JACKET 2.0 KIDS (10, Azul Polo);JAPKI162T10;CUADRO JACKET 2.0 KIDS;Kids;10;Azul Polo;51,00
TALLER;[JAPKI162T12] CUADRO JACKET 2.0 KIDS (12, Azul Polo);JAPKI162T12;CUADRO JACKET 2.0 KIDS;Kids;12;Azul Polo;16,00
TALLER;[JAPKI01T2] CUADRO JACKET 2.0 KIDS (2, AGUAMARINA);JAPKI01T2;CUADRO JACKET 2.0 KIDS;Kids;2;Aguamarina;1,00
TALLER;[JAPKI01T4] CUADRO JACKET 2.0 KIDS (4, AGUAMARINA);JAPKI01T4;CUADRO JACKET 2.0 KIDS;Kids;4;Aguamarina;1,00
TALLER;[JAPKI01T8] CUADRO JACKET 2.0 KIDS (8, AGUAMARINA);JAPKI01T8;CUADRO JACKET 2.0 KIDS;Kids;8;Aguamarina;36,00
TALLER;[JAPKI01T10] CUADRO JACKET 2.0 KIDS (10, AGUAMARINA);JAPKI01T10;CUADRO JACKET 2.0 KIDS;Kids;10;Aguamarina;3,00
TALLER;[JAPKI01T12] CUADRO JACKET 2.0 KIDS (12, AGUAMARINA);JAPKI01T12;CUADRO JACKET 2.0 KIDS;Kids;12;Aguamarina;10,00
TALLER;[JAPKI43T2] CUADRO JACKET 2.0 KIDS (2, NEGRO);JAPKI43T2;CUADRO JACKET 2.0 KIDS;Kids;2;Negro;7,00
TALLER;[JAPKI43T8] CUADRO JACKET 2.0 KIDS (8, NEGRO);JAPKI43T8;CUADRO JACKET 2.0 KIDS;Kids;8;Negro;28,00
TALLER;[JAPKI43T10] CUADRO JACKET 2.0 KIDS (10, NEGRO);JAPKI43T10;CUADRO JACKET 2.0 KIDS;Kids;10;Negro;53,00
TALLER;[JAPKI43T12] CUADRO JACKET 2.0 KIDS (12, NEGRO);JAPKI43T12;CUADRO JACKET 2.0 KIDS;Kids;12;Negro;60,00
TALLER;[JAPKI35T8] CUADRO JACKET 2.0 KIDS (8, Magenta);JAPKI35T8;CUADRO JACKET 2.0 KIDS;Kids;8;Magenta;40,00
TALLER;[JAPKI35T10] CUADRO JACKET 2.0 KIDS (10, Magenta);JAPKI35T10;CUADRO JACKET 2.0 KIDS;Kids;10;Magenta;46,00
TALLER;[JAPKI35T12] CUADRO JACKET 2.0 KIDS (12, Magenta);JAPKI35T12;CUADRO JACKET 2.0 KIDS;Kids;12;Magenta;66,00
TALLER;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CUADRO JACKET 2.0 CAB;Caballero;M;Negro;141,00
TALLER;[JAPCA43TXL] CUADRO JACKET 2.0 CAB (XL, NEGRO);JAPCA43TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Negro;244,00
TALLER;[JAPCA43TS] CUADRO JACKET 2.0 CAB (S, NEGRO);JAPCA43TS;CUADRO JACKET 2.0 CAB;Caballero;S;Negro;163,00
TALLER;[JAPCA43T2XL] CUADRO JACKET 2.0 CAB (2XL, NEGRO);JAPCA43T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Negro;78,00
TALLER;[JAPCA43TL] CUADRO JACKET 2.0 CAB (L, NEGRO);JAPCA43TL;CUADRO JACKET 2.0 CAB;Caballero;L;Negro;144,00
TALLER;[JAPDA01TS] CUADRO JACKET 2.0 DAMA (S, AGUAMARINA);JAPDA01TS;CUADRO JACKET 2.0 DAMA;Dama;S;Aguamarina;75,00
TALLER;[JAPCA66TM] CUADRO JACKET 2.0 CAB (M, VERDE MILITAR);JAPCA66TM;CUADRO JACKET 2.0 CAB;Caballero;M;Verde Militar;15,00
TALLER;[JAPDA43TXS] CUADRO JACKET 2.0 DAMA (XS, NEGRO);JAPDA43TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Negro;133,00
TALLER;[JAPDA43TXL] CUADRO JACKET 2.0 DAMA (XL, NEGRO);JAPDA43TXL;CUADRO JACKET 2.0 DAMA;Dama;XL;Negro;155,00
TALLER;[JAPDA43TS] CUADRO JACKET 2.0 DAMA (S, NEGRO);JAPDA43TS;CUADRO JACKET 2.0 DAMA;Dama;S;Negro;156,00
TALLER;[JAPDA43TM] CUADRO JACKET 2.0 DAMA (M, NEGRO);JAPDA43TM;CUADRO JACKET 2.0 DAMA;Dama;M;Negro;163,00
TALLER;[JAPDA01TXL] CUADRO JACKET 2.0 DAMA (XL, AGUAMARINA);JAPDA01TXL;CUADRO JACKET 2.0 DAMA;Dama;XL;Aguamarina;2,00
TALLER;[JAPCA16TXL] CUADRO JACKET 2.0 CAB (XL, BLANCO);JAPCA16TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Blanco;70,00
TALLER;[JAPCA16TL] CUADRO JACKET 2.0 CAB (L, BLANCO);JAPCA16TL;CUADRO JACKET 2.0 CAB;Caballero;L;Blanco;51,00
TALLER;[JAPCA16TS] CUADRO JACKET 2.0 CAB (S, BLANCO);JAPCA16TS;CUADRO JACKET 2.0 CAB;Caballero;S;Blanco;19,00
TALLER;[JAPCA16TM] CUADRO JACKET 2.0 CAB (M, BLANCO);JAPCA16TM;CUADRO JACKET 2.0 CAB;Caballero;M;Blanco;21,00
TALLER;[JAPCA16T2XL] CUADRO JACKET 2.0 CAB (2XL, BLANCO);JAPCA16T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Blanco;41,00
