Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
GRANDPLAZ;[BAOCCCA158T2XL] BASIC LINE OVERSIZED CAB (Ivory, 2XL);BAOCCCA158T2XL;BASIC LINE OVERSIZED;CAB;Ivory;2XL;1
GRANDPLAZ;[BAOCCCA38TXS] BASIC LINE OVERSIZED CAB (Peanut, XS);BAOCCCA38TXS;BASIC LINE OVERSIZED;CAB;Peanut;XS;1
GRANDPLAZ;[BAOCCCA38TS] BASIC LINE OVERSIZED CAB (Peanut, S);BAOCCCA38TS;BASIC LINE OVERSIZED;CAB;Peanut;S;1
GRANDPLAZ;[BAOCCCA38TM] BASIC LINE OVERSIZED CAB (Peanut, M);BAOCCCA38TM;BASIC LINE OVERSIZED;CAB;Peanut;M;1
GRANDPLAZ;[BAOCCCA38TL] BASIC LINE OVERSIZED CAB (Peanut, L);BAOCCCA38TL;BASIC LINE OVERSIZED;CAB;Peanut;L;3
GRANDPLAZ;[BAOCCCA38TXL] BASIC LINE OVERSIZED CAB (Peanut, XL);BAOCCCA38TXL;BASIC LINE OVERSIZED;CAB;Peanut;XL;1
GRANDPLAZ;[BAPCCDA43TXS] BASIC LINE PANT DAMA (Black, XS);BAPCCDA43TXS;BASIC LINE PANT;DAMA;Black;XS;1
GRANDPLAZ;[BAPCCDA43TS] BASIC LINE PANT DAMA (Black, S);BAPCCDA43TS;BASIC LINE PANT;DAMA;Black;S;2
GRANDPLAZ;[BAPCCDA43TM] BASIC LINE PANT DAMA (Black, M);BAPCCDA43TM;BASIC LINE PANT;DAMA;Black;M;2
GRANDPLAZ;[BAPCCDA43TL] BASIC LINE PANT DAMA (Black, L);BAPCCDA43TL;BASIC LINE PANT;DAMA;Black;L;1
GRANDPLAZ;[BAPCCDA43TXL] BASIC LINE PANT DAMA (Black, XL);BAPCCDA43TXL;BASIC LINE PANT;DAMA;Black;XL;1
GRANDPLAZ;[BAPCCDA184TXL] BASIC LINE PANT DAMA (Peanut, XL);BAPCCDA184TXL;BASIC LINE PANT;DAMA;Peanut;XL;1
GRANDPLAZ;[BASCCDA43TXS] BASIC LINE SHORT DAMA (Black, XS);BASCCDA43TXS;BASIC LINE SHORT;DAMA;Black;XS;3
GRANDPLAZ;[BASCCDA43TS] BASIC LINE SHORT DAMA (Black, S);BASCCDA43TS;BASIC LINE SHORT;DAMA;Black;S;4
GRANDPLAZ;[BASCCDA43TM] BASIC LINE SHORT DAMA (Black, M);BASCCDA43TM;BASIC LINE SHORT;DAMA;Black;M;2
GRANDPLAZ;[BASCCDA43TL] BASIC LINE SHORT DAMA (Black, L);BASCCDA43TL;BASIC LINE SHORT;DAMA;Black;L;1
GRANDPLAZ;[BASCCDA43TXL] BASIC LINE SHORT DAMA (Black, XL);BASCCDA43TXL;BASIC LINE SHORT;DAMA;Black;XL;3
GRANDPLAZ;[BASCCDA38TXS] BASIC LINE SHORT DAMA (Peanut, XS);BASCCDA38TXS;BASIC LINE SHORT;DAMA;Peanut;XS;2
GRANDPLAZ;[BASCCDA38TS] BASIC LINE SHORT DAMA (Peanut, S);BASCCDA38TS;BASIC LINE SHORT;DAMA;Peanut;S;1
GRANDPLAZ;[BASCCDA38TM] BASIC LINE SHORT DAMA (Peanut, M);BASCCDA38TM;BASIC LINE SHORT;DAMA;Peanut;M;1
GRANDPLAZ;[BASCCDA38TL] BASIC LINE SHORT DAMA (Peanut, L);BASCCDA38TL;BASIC LINE SHORT;DAMA;Peanut;L;2
GRIETA;[BACCCDA43TXS] BASIC LINE CROP TEE DAMA (Black, XS);BACCCDA43TXS;BASIC LINE CROP TEE;DAMA;Black;XS;4
GRIETA;[BACCCDA43TS] BASIC LINE CROP TEE DAMA (Black, S);BACCCDA43TS;BASIC LINE CROP TEE;DAMA;Black;S;3
GRIETA;[BACCCDA43TM] BASIC LINE CROP TEE DAMA (Black, M);BACCCDA43TM;BASIC LINE CROP TEE;DAMA;Black;M;3
GRIETA;[BACCCDA43TL] BASIC LINE CROP TEE DAMA (Black, L);BACCCDA43TL;BASIC LINE CROP TEE;DAMA;Black;L;4
GRIETA;[BACCCDA43TXL] BASIC LINE CROP TEE DAMA (Black, XL);BACCCDA43TXL;BASIC LINE CROP TEE;DAMA;Black;XL;5
GRIETA;[BACCCDA158TXS] BASIC LINE CROP TEE DAMA (Ivory, XS);BACCCDA158TXS;BASIC LINE CROP TEE;DAMA;Ivory;XS;1
GRIETA;[BACCCDA158TM] BASIC LINE CROP TEE DAMA (Ivory, M);BACCCDA158TM;BASIC LINE CROP TEE;DAMA;Ivory;M;2
