ARTICULO_NORM,CATEGORIA,n_solicitudes,und_solicitadas,und_atendidas,und_no_disponible,n_atendidas,n_no_disponible,n_sin_estado,demanda_sem_max,n_sucursales,und_por_dia,und_por_semana,und_por_quincena,und_por_mes,pct_lineas_atendidas,pct_lineas_no_disponible,pct_und_atendidas,pct_und_no_disponible,senal_ruptura,pedido_semanal_sugerido,pedido_quincenal_sugerido,pedido_mensual_sugerido,MIN_und,MAX_und,ROP_und,Q_pedido_ref_mensual,GRUPO,demanda_sem_std,demanda_sem_prom,demanda_sem_mediana
CINTA DE REGALO NARANJA,SUMINISTROS,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.03333333333333333,0.23333333333333334,0.5,1.0,0.5,0.0,0.5,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
HUELLERO,OFICINA,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,2,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
PINZA DEVASTADO,SUMINISTROS,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,2,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
BORRADOR,OFICINA,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,0.0,1.0,0.0,1.0,ALTA,2,3,4,1,4,1,4,UNIFICADO,,0.23333333333333334,0.23333333333333334
CINTA ADHESIVA PEQUENA,SUMINISTROS,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
CUCHILLA DE PLOTTER,SUMINISTROS,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
PALO DE ESCOBA,LIMPIEZA E HIGIENE,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
RESMA DE HOJAS DE COLORES,OFICINA,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,0.0,1.0,0.0,1.0,ALTA,2,3,4,1,4,1,4,UNIFICADO,,0.23333333333333334,0.23333333333333334
SACAPUNTAS,OFICINA,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,0.0,1.0,0.0,1.0,ALTA,2,3,4,1,4,1,4,UNIFICADO,,0.23333333333333334,0.23333333333333334
ALGODON,INSUMOS MEDICOS,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
