Ubicaci�n;Producto;SKU;MODELO;COLOR;Cantidad en inventario
CHACAO;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;7,00
CHACAO;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;2,00
CHACAO;[DRY4230L] DRY BAG 30L (Naranja);DRY4230L;DRY BAG 30L;Naranja;2,00
CHACAO;[DRY1630L] DRY BAG 30L (Blanco);DRY1630L;DRY BAG 30L;Blanco;1,00
CHACAO;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;2,00
GRANDPLAZ;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;4,00
GRANDPLAZ;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;3,00
GRANDPLAZ;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;4,00
GRANDPLAZ;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;2,00
GRANDPLAZ;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;4,00
GRANDPLAZ;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;3,00
GRANDPLAZ;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;2,00
GRANDPLAZ;[DRY4230L] DRY BAG 30L (Naranja);DRY4230L;DRY BAG 30L;Naranja;1,00
GRANDPLAZ;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;3,00
GRANDPLAZ;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;2,00
GRANDPLAZ;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;2,00
GRANDPLAZ;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;2,00
GRANDPLAZ;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;3,00
GRANDPLAZ;[TRA1340L] TRAVEL BAG 40L (Azul Rey);TRA1340L;TRAVEL BAG 40L;Azul Rey;3,00
GRANDPLAZ;[DRY1630L] DRY BAG 30L (Blanco);DRY1630L;DRY BAG 30L;Blanco;2,00
GRANDPLAZ;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;1,00
GRANDPLAZ;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;3,00
GRANDPLAZ;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;1,00
GRANDPLAZ;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;3,00
GRANDPLAZ;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;1,00
GRIETA;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;9,00
GRIETA;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;15,00
GRIETA;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;9,00
GRIETA;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;6,00
GRIETA;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;5,00
GRIETA;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;5,00
GRIETA;[DRY3030L] DRY BAG 30L (Gris Claro);DRY3030L;DRY BAG 30L;Gris Claro;3,00
GRIETA;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;10,00
GRIETA;[DRY4230L] DRY BAG 30L (Naranja);DRY4230L;DRY BAG 30L;Naranja;8,00
GRIETA;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;10,00
GRIETA;[DRY1630L] DRY BAG 30L (Blanco);DRY1630L;DRY BAG 30L;Blanco;1,00
GRIETA;[DRY6630L] DRY BAG 30L (Verde Militar);DRY6630L;DRY BAG 30L;Verde Militar;1,00
GRIETA;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;16,00
GRIETA;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;6,00
GRIETA;[DRY2030L] DRY BAG 30L (Camu);DRY2030L;DRY BAG 30L;Camu;1,00
