Ubicaci�n;Producto;SKU;MODELO;COLOR;TALLA;Cantidad en inventario
TOLON;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;2,00
TOLON;[POLPLCA14T2XL] CLASSIC POLO (Azul Turquesa, 2XL);POLPLCA14T2XL;CLASSIC POLO;Azul Turquesa;2XL;1,00
TOLON;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;2,00
TOLON;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;2,00
TOLON;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;2,00
TOLON;[POLPLCA16TL] CLASSIC POLO (Blanco, L);POLPLCA16TL;CLASSIC POLO;Blanco;L;1,00
VELA;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;7,00
VELA;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;7,00
VELA;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;3,00
VELA;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;4,00
VELA;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;5,00
VELA;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;5,00
VELA;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;4,00
VELA;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;3,00
VELA;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;5,00
VELA;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;5,00
VELA;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;5,00
VELA;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;5,00
