Fecha de la orden;SKU;Variante del producto;MODELO;COLOR;TALLA;Cant. ordenada;UBICACI�N;FECHA
24/06/2025;POLPLCA30TS;[POLPLCA30TS] CLASSIC POLO (S, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;S;1,00;La Grieta;junio-2025
24/06/2025;POLPLCA12TM;[POLPLCA12TM] CLASSIC POLO (M, Azul Marino - Acero);CLASSIC POLO;Azul Marino;M;-1,00;La Grieta;junio-2025
24/06/2025;POLPLCA14TM;[POLPLCA14TM] CLASSIC POLO (M, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;M;-1,00;La Grieta;junio-2025
24/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
24/06/2025;POLPLCA14TL;[POLPLCA14TL] CLASSIC POLO (L, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;L;1,00;La Grieta;junio-2025
25/06/2025;POLPLCA33TXL;[POLPLCA33TXL] CLASSIC POLO (XL, Beige - Oxford Tan);CLASSIC POLO;Beige;XL;1,00;La Grieta;junio-2025
25/06/2025;POLPLCA16TL;[POLPLCA16TL] CLASSIC POLO (L, Blanco - Blanco);CLASSIC POLO;Blanco;L;-1,00;La Grieta;junio-2025
25/06/2025;POLPLCA33T2XL;[POLPLCA33T2XL] CLASSIC POLO (2XL, Beige - Oxford Tan);CLASSIC POLO;Beige;2XL;1,00;La Grieta;junio-2025
25/06/2025;POLPLCA16TS;[POLPLCA16TS] CLASSIC POLO (S, Blanco - Blanco);CLASSIC POLO;Blanco;S;1,00;La Grieta;junio-2025
25/06/2025;POLPLCA12TS;[POLPLCA12TS] CLASSIC POLO (S, Azul Marino - Acero);CLASSIC POLO;Azul Marino;S;1,00;La Grieta;junio-2025
26/06/2025;POLPLCA16TXL;[POLPLCA16TXL] CLASSIC POLO (XL, Blanco - Blanco);CLASSIC POLO;Blanco;XL;1,00;La Grieta;junio-2025
26/06/2025;POLPLCA30T2XL;[POLPLCA30T2XL] CLASSIC POLO (2XL, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;2XL;-1,00;La Grieta;junio-2025
